year,category,game,is_winner,genres
2024,Sit Back and Relax Award,TCG Card Shop Simulator,0,Simulation;Early Access
2024,Sit Back and Relax Award,WEBFISHING,0,Casual;Indie;Massively Multiplayer
2023,Game of the Year Award,Baldur's Gate 3,1,Adventure;RPG;Strategy
2023,Game of the Year Award,Hogwarts Legacy,0,Action;Adventure;RPG
2023,Game of the Year Award,Lethal Company,0,Action;Adventure;Indie;Early Access
2023,Game of the Year Award,Resident Evil 4,0,Action;Adventure
2023,Game of the Year Award,EA SPORTS FC™ 24,0,Simulation;Sports
2023,VR Game of the Year Award,Labyrinthine,1,Action;Adventure;Indie
2023,VR Game of the Year Award,Gorilla Tag,0,Action;Casual
2023,VR Game of the Year Award,Ghosts of Tabor,0,Action;Early Access
2023,VR Game of the Year Award,F1® 23,0,Racing;Sports
2023,VR Game of the Year Award,I Expect You To Die 3: Cog in the Machine,0,Action;Adventure;Simulation
2023,Labor of Love Award,Red Dead Redemption 2,1,Action;Adventure
2023,Labor of Love Award,Dota 2,0,Action;Strategy;Free To Play
2023,Labor of Love Award,Rust,0,Action;Adventure;Indie;Massively Multiplayer;RPG
2023,Labor of Love Award,Deep Rock Galactic,0,Action
2023,Labor of Love Award,Apex Legends™,0,Action;Adventure;Free To Play
2023,Best Game on Steam Deck Award,Hogwarts Legacy,1,Action;Adventure;RPG
2023,Best Game on Steam Deck Award,The Outlast Trials,0,Action;Adventure;Indie
2023,Best Game on Steam Deck Award,DREDGE,0,Adventure;RPG
2023,Best Game on Steam Deck Award,Brotato,0,Action;Casual;Indie;RPG
2023,Best Game on Steam Deck Award,Diablo® IV,0,Action;RPG
2023,Better With Friends Award,Lethal Company,1,Action;Adventure;Indie;Early Access
2023,Better With Friends Award,Party Animals,0,Action;Casual;Indie
2023,Better With Friends Award,Sons Of The Forest,0,Action;Adventure;Indie;Simulation
2023,Better With Friends Award,"Warhammer 40,000: Darktide",0,Action;Adventure;RPG
2023,Better With Friends Award,Sunkenland,0,Action;Indie;Early Access
2023,Outstanding Visual Style Award,Atomic Heart,1,Action;Adventure;RPG
2023,Outstanding Visual Style Award,COCOON,0,Adventure;Indie
2023,Outstanding Visual Style Award,Inward,0,Indie;Simulation;Early Access
2023,Outstanding Visual Style Award,High On Life,0,Action;Adventure
2023,Outstanding Visual Style Award,Darkest Dungeon® II,0,Indie;RPG;Strategy
2023,Most Innovative Gameplay Award,Starfield,1,RPG
2023,Most Innovative Gameplay Award,Contraband Police,0,Action;Adventure;Simulation
2023,Most Innovative Gameplay Award,Shadows of Doubt,0,Action;Adventure;Indie;RPG
2023,Most Innovative Gameplay Award,REMNANT II®,0,Action;Adventure;RPG
2023,Most Innovative Gameplay Award,Your Only Move Is HUSTLE,0,Action;Indie;Simulation;Strategy
2023,Best Game You Suck At Award,Sifu,1,Action;Indie
2023,Best Game You Suck At Award,Street Fighter™ 6,0,Action;Adventure
2023,Best Game You Suck At Award,Lords of the Fallen,0,Action;Adventure;RPG
2023,Best Game You Suck At Award,EA SPORTS FC™ 24,0,Simulation;Sports
2023,Best Game You Suck At Award,Overwatch® 2,0,Action;Free To Play
2023,Best Soundtrack Award,The Last of Us™ Part I,1,Action;Adventure
2023,Best Soundtrack Award,Hi-Fi RUSH,0,Action
2023,Best Soundtrack Award,Chants of Sennaar,0,Adventure;Indie
2023,Best Soundtrack Award,Pizza Tower,0,Action;Indie
2023,Best Soundtrack Award,Persona 5 Tactica,0,RPG;Strategy
2023,Outstanding Story-Rich Game Award,Baldur's Gate 3,1,Adventure;RPG;Strategy
2023,Outstanding Story-Rich Game Award,Lies of P,0,Action;Adventure;RPG
2023,Outstanding Story-Rich Game Award,STAR WARS Jedi: Survivor™,0,Action;Adventure
2023,Outstanding Story-Rich Game Award,Resident Evil 4,0,Action;Adventure
2023,Outstanding Story-Rich Game Award,Love Is All Around,0,Adventure;Indie;RPG;Simulation;Strategy
2023,Sit Back and Relax Award,DAVE THE DIVER,1,Adventure;Casual;RPG;Simulation
2023,Sit Back and Relax Award,Cities: Skylines II,0,Simulation
2023,Sit Back and Relax Award,Coral Island,0,Adventure;Casual;Indie;RPG;Simulation;Strategy
2023,Sit Back and Relax Award,Potion Craft: Alchemist Simulator,0,Indie;Simulation
2023,Sit Back and Relax Award,Train Sim World® 4,0,Simulation
2022,Game of the Year Award,ELDEN RING,1,Action;RPG
2022,Game of the Year Award,Dying Light 2 Stay Human: Reloaded Edition,0,Action;Adventure;RPG
2022,Game of the Year Award,Stray,0,Adventure;Indie
2022,Game of the Year Award,God of War,0,Action;Adventure;RPG
2022,Game of the Year Award,Call of Duty®,0,Action
2022,VR Game of the Year Award,HITMAN World of Assassination,1,Action;Adventure
2022,VR Game of the Year Award,BONELAB,0,Action;Adventure;Simulation
2022,VR Game of the Year Award,Green Hell VR,0,Action;Adventure;Indie;Simulation
2022,VR Game of the Year Award,Among Us 3D: VR,0,Casual
2022,VR Game of the Year Award,Inside the Backrooms,0,Adventure;Indie;Early Access
2022,Labor of Love Award,Cyberpunk 2077,1,RPG
2022,Labor of Love Award,Dota 2,0,Action;Strategy;Free To Play
2022,Labor of Love Award,Project Zomboid,0,Indie;RPG;Simulation;Early Access
2022,Labor of Love Award,No Man's Sky,0,Action;Adventure
2022,Labor of Love Award,Deep Rock Galactic,0,Action
2022,Better With Friends Award,Raft,1,Adventure;Indie;Simulation
2022,Better With Friends Award,Ready or Not,0,Action;Adventure;Indie
2022,Better With Friends Award,MONSTER HUNTER RISE,0,Action
2022,Better With Friends Award,MultiVersus,0,Action;Free To Play
2022,Better With Friends Award,Call of Duty®,0,Action
2022,Outstanding Visual Style Award,Marvel’s Spider-Man: Miles Morales,1,Action;Adventure
2022,Outstanding Visual Style Award,Scorn,0,Action;Adventure;Indie
2022,Outstanding Visual Style Award,Bendy and the Dark Revival,0,Action;Adventure
2022,Outstanding Visual Style Award,Cult of the Lamb,0,Action;Adventure;Indie;Strategy
2022,Outstanding Visual Style Award,Kena: Bridge of Spirits,0,Action;Adventure;Indie
2022,Most Innovative Gameplay Award,Stray,1,Adventure;Indie
2022,Most Innovative Gameplay Award,Mount & Blade II: Bannerlord,0,Action;Indie;RPG;Simulation;Strategy
2022,Most Innovative Gameplay Award,Teardown,0,Action;Indie;Simulation;Strategy
2022,Most Innovative Gameplay Award,Neon White,0,Action;Adventure;Indie
2022,Most Innovative Gameplay Award,Dome Keeper,0,Action;Adventure;Indie;Simulation
2022,Best Game You Suck At Award,ELDEN RING,1,Action;RPG
2022,Best Game You Suck At Award,GTFO,0,Action
2022,Best Game You Suck At Award,Victoria 3,0,Simulation;Strategy
2022,Best Game You Suck At Award,Total War: WARHAMMER III,0,Action;Strategy
2022,Best Game You Suck At Award,EA SPORTS™ FIFA 23,0,Simulation;Sports
2022,Best Soundtrack Award,FINAL FANTASY VII REMAKE INTERGRADE,1,Action;Adventure;RPG
2022,Best Soundtrack Award,Metal: Hellsinger,0,Action;Adventure
2022,Best Soundtrack Award,Sonic Frontiers,0,Action;Adventure
2022,Best Soundtrack Award,Persona 5 Royal,0,RPG
2022,Best Soundtrack Award,Hatsune Miku: Project DIVA Mega Mix+,0,Action
2022,Outstanding Story-Rich Game Award,God of War,1,Action;Adventure;RPG
2022,Outstanding Story-Rich Game Award,A Plague Tale: Requiem,0,Action;Adventure
2022,Outstanding Story-Rich Game Award,UNCHARTED™: Legacy of Thieves Collection,0,Adventure
2022,Outstanding Story-Rich Game Award,The Stanley Parable: Ultra Deluxe,0,Adventure;Casual;Indie
2022,Outstanding Story-Rich Game Award,Marvel’s Spider-Man Remastered,0,Action;Adventure;Casual
2022,Sit Back and Relax Award,LEGO® Star Wars™: The Skywalker Saga,1,Action;Adventure
2022,Sit Back and Relax Award,PowerWash Simulator,0,Casual;Indie;Simulation
2022,Sit Back and Relax Award,Disney Dreamlight Valley,0,Action;Adventure;Casual;RPG;Simulation
2022,Sit Back and Relax Award,Dorfromantik,0,Casual;Indie;Simulation;Strategy
2022,Sit Back and Relax Award,Slime Rancher 2,0,Action;Adventure;Casual;Indie;Simulation
2022,Best Game on the Go Award,DEATH STRANDING DIRECTOR'S CUT,1,Action;Adventure
2022,Best Game on the Go Award,Yu-Gi-Oh! Master Duel,0,Simulation;Strategy;Free To Play
2022,Best Game on the Go Award,Vampire Survivors,0,Action;Casual;Indie;RPG
2022,Best Game on the Go Award,Brotato,0,Action;Casual;Indie;RPG
2022,Best Game on the Go Award,MARVEL SNAP,0,Casual;Strategy;Free To Play
2021,Game of the Year Award,Resident Evil Village,1,Action
2021,Game of the Year Award,Valheim,0,Action;Adventure;Indie;RPG;Early Access
2021,Game of the Year Award,New World: Aeternum,0,Action;Adventure;Massively Multiplayer;RPG
2021,Game of the Year Award,Cyberpunk 2077,0,RPG
2021,Game of the Year Award,Forza Horizon 5,0,Action;Adventure;Racing;Simulation;Sports
2021,VR Game of the Year Award,Cooking Simulator VR,1,Casual;Indie;Simulation
2021,VR Game of the Year Award,Sniper Elite VR,0,Action;Adventure
2021,VR Game of the Year Award,Medal of Honor™: Above and Beyond,0,Action
2021,VR Game of the Year Award,I Expect You To Die 2: The Spy and the Liar,0,Adventure
2021,VR Game of the Year Award,Blair Witch VR,0,Adventure;Indie
2021,Labor of Love Award,Terraria,1,Action;Adventure;Indie;RPG
2021,Labor of Love Award,Dota 2,0,Action;Strategy;Free To Play
2021,Labor of Love Award,Rust,0,Action;Adventure;Indie;Massively Multiplayer;RPG
2021,Labor of Love Award,No Man's Sky,0,Action;Adventure
2021,Labor of Love Award,Apex Legends™,0,Action;Adventure;Free To Play
2021,Better With Friends Award,It Takes Two,1,Action;Adventure
2021,Better With Friends Award,Valheim,0,Action;Adventure;Indie;RPG;Early Access
2021,Better With Friends Award,Back 4 Blood,0,Action
2021,Better With Friends Award,Halo Infinite,0,Action;Free To Play
2021,Better With Friends Award,Crab Game,0,Action;Casual;Free To Play;Indie;Racing
2021,Outstanding Visual Style Award,Forza Horizon 5,1,Action;Adventure;Racing;Simulation;Sports
2021,Outstanding Visual Style Award,Psychonauts 2,0,Action;Adventure
2021,Outstanding Visual Style Award,Subnautica: Below Zero,0,Adventure;Indie
2021,Outstanding Visual Style Award,Little Nightmares II,0,Adventure
2021,Outstanding Visual Style Award,Bright Memory: Infinite,0,Action;Indie
2021,Most Innovative Gameplay Award,DEATHLOOP,1,Action
2021,Most Innovative Gameplay Award,Inscryption,0,Adventure;Indie;Strategy
2021,Most Innovative Gameplay Award,Twelve Minutes,0,Adventure;Indie
2021,Most Innovative Gameplay Award,Moncage,0,Adventure;Casual;Indie;Simulation;Strategy
2021,Most Innovative Gameplay Award,Loop Hero,0,Indie;RPG;Strategy
2021,Best Game You Suck At Award,Nioh 2 – The Complete Edition,1,Action;RPG
2021,Best Game You Suck At Award,World War Z,0,Action
2021,Best Game You Suck At Award,NARAKA: BLADEPOINT,0,Action;Adventure;Massively Multiplayer;Free To Play
2021,Best Game You Suck At Award,Age of Empires IV: Anniversary Edition,0,Strategy
2021,Best Game You Suck At Award,Battlefield™ 2042,0,Action;Adventure;Casual
2021,Best Soundtrack Award,Marvel's Guardians of the Galaxy,1,Action;Adventure
2021,Best Soundtrack Award,NieR Replicant™ ver.1.22474487139...,0,Action;Adventure;RPG
2021,Best Soundtrack Award,Persona® 5 Strikers,0,Action;Adventure
2021,Best Soundtrack Award,GUILTY GEAR -STRIVE-,0,Action
2021,Best Soundtrack Award,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,0,Action;Adventure
2021,Outstanding Story-Rich Game Award,Cyberpunk 2077,1,RPG
2021,Outstanding Story-Rich Game Award,Life is Strange: True Colors,0,Action;Adventure
2021,Outstanding Story-Rich Game Award,Resident Evil Village,0,Action
2021,Outstanding Story-Rich Game Award,Days Gone,0,Action;Adventure
2021,Outstanding Story-Rich Game Award,Mass Effect™ Legendary Edition,0,Action;RPG
2021,Sit Back and Relax Award,Farming Simulator 22,1,Simulation
2021,Sit Back and Relax Award,Unpacking,0,Casual;Indie;Simulation
2021,Sit Back and Relax Award,Potion Craft: Alchemist Simulator,0,Indie;Simulation
2021,Sit Back and Relax Award,Townscaper,0,Casual;Indie;Simulation
2021,Sit Back and Relax Award,Dorfromantik,0,Casual;Indie;Simulation;Strategy
